scenario,final_value,max_value,min_value
537,58099.24,58099.24,1000.00
538,58213.06,58213.06,1000.00
539,58326.91,58326.91,1000.00
540,58440.81,58440.81,1000.00
541,58554.74,58554.74,1000.00
542,58668.70,58668.70,1000.00
543,58782.71,58782.71,1000.00
544,58896.74,58896.74,1000.00
545,59010.82,59010.82,1000.00
546,59124.93,59124.93,1000.00
547,59239.08,59239.08,1000.00
548,59353.26,59353.26,1000.00
549,59467.48,59467.48,1000.00
550,59581.74,59581.74,1000.00
551,59696.03,59696.03,1000.00
552,59810.36,59810.36,1000.00
553,59924.73,59924.73,1000.00
554,60039.13,60039.13,1000.00
555,60153.57,60153.57,1000.00
556,60268.04,60268.04,1000.00
557,60382.56,60382.56,1000.00
558,60497.10,60497.10,1000.00
559,60611.69,60611.69,1000.00
560,60726.31,60726.31,1000.00
561,60840.97,60840.97,1000.00
562,60955.66,60955.66,1000.00
563,61070.39,61070.39,1000.00
564,61185.16,61185.16,1000.00
565,61299.96,61299.96,1000.00
566,61414.80,61414.80,1000.00
567,61529.68,61529.68,1000.00
568,61644.59,61644.59,1000.00
569,61759.54,61759.54,1000.00
570,61874.52,61874.52,1000.00
571,61989.55,61989.55,1000.00
572,62104.61,62104.61,1000.00
573,62219.70,62219.70,1000.00
574,62334.84,62334.84,1000.00
575,62450.00,62450.00,1000.00
576,62565.21,62565.21,1000.00
577,62680.45,62680.45,1000.00
578,62795.73,62795.73,1000.00
579,62911.05,62911.05,1000.00
580,63026.40,63026.40,1000.00
581,63141.79,63141.79,1000.00
582,63257.21,63257.21,1000.00
583,63372.68,63372.68,1000.00
584,63488.18,63488.18,1000.00
585,63603.71,63603.71,1000.00
586,63719.29,63719.29,1000.00
587,63834.89,63834.89,1000.00
588,63950.54,63950.54,1000.00
589,64066.22,64066.22,1000.00
590,64181.94,64181.94,1000.00
591,64297.70,64297.70,1000.00
592,64413.49,64413.49,1000.00
593,64529.32,64529.32,1000.00
594,64645.19,64645.19,1000.00
595,64761.09,64761.09,1000.00
596,64877.04,64877.04,1000.00
597,64993.01,64993.01,1000.00
598,65109.03,65109.03,1000.00
599,65225.08,65225.08,1000.00
600,65341.17,65341.17,1000.00
601,65457.29,65457.29,1000.00
602,65573.45,65573.45,1000.00
603,65689.65,65689.65,1000.00
604,65805.89,65805.89,1000.00
605,65922.16,65922.16,1000.00
606,66038.47,66038.47,1000.00
607,66154.82,66154.82,1000.00
608,66271.20,66271.20,1000.00
609,66387.62,66387.62,1000.00
610,66504.08,66504.08,1000.00
611,66620.57,66620.57,1000.00
612,66737.11,66737.11,1000.00
613,66853.67,66853.67,1000.00
614,66970.28,66970.28,1000.00
615,67086.92,67086.92,1000.00
616,67203.60,67203.60,1000.00
617,67320.32,67320.32,1000.00
618,67437.07,67437.07,1000.00
619,67553.87,67553.87,1000.00
620,67670.69,67670.69,1000.00
621,67787.56,67787.56,1000.00
622,67904.46,67904.46,1000.00
623,68021.40,68021.40,1000.00
624,68138.38,68138.38,1000.00
625,68255.39,68255.39,1000.00
626,68372.44,68372.44,1000.00
627,68489.53,68489.53,1000.00
628,68606.66,68606.66,1000.00
629,68723.82,68723.82,1000.00
630,68841.02,68841.02,1000.00
631,68958.26,68958.26,1000.00
632,69075.53,69075.53,1000.00
633,69192.84,69192.84,1000.00
634,69310.19,69310.19,1000.00
635,69427.58,69427.58,1000.00
636,69545.00,69545.00,1000.00
637,69662.46,69662.46,1000.00
638,69779.96,69779.96,1000.00
639,69897.49,69897.49,1000.00
640,70015.07,70015.07,1000.00
641,70132.68,70132.68,1000.00
642,70250.32,70250.32,1000.00
643,70368.01,70368.01,1000.00
644,70485.73,70485.73,1000.00
645,70603.49,70603.49,1000.00
646,70721.29,70721.29,1000.00
647,70839.12,70839.12,1000.00
648,70956.99,70956.99,1000.00
649,71074.90,71074.90,1000.00
650,71192.85,71192.85,1000.00
651,71310.83,71310.83,1000.00
652,71428.85,71428.85,1000.00
653,71546.91,71546.91,1000.00
654,71665.01,71665.01,1000.00
655,71783.14,71783.14,1000.00
656,71901.31,71901.31,1000.00
657,72019.52,72019.52,1000.00
658,72137.77,72137.77,1000.00
659,72256.05,72256.05,1000.00
660,72374.37,72374.37,1000.00
661,72492.73,72492.73,1000.00
662,72611.13,72611.13,1000.00
663,72729.56,72729.56,1000.00
664,72848.03,72848.03,1000.00
665,72966.54,72966.54,1000.00
666,73085.09,73085.09,1000.00
667,73203.67,73203.67,1000.00
668,73322.29,73322.29,1000.00
669,73440.95,73440.95,1000.00
670,73559.65,73559.65,1000.00
671,73678.38,73678.38,1000.00
672,73797.16,73797.16,1000.00
673,73915.97,73915.97,1000.00
674,74034.81,74034.81,1000.00
675,74153.70,74153.70,1000.00
676,74272.62,74272.62,1000.00
677,74391.58,74391.58,1000.00
678,74510.58,74510.58,1000.00
679,74629.62,74629.62,1000.00
680,74748.69,74748.69,1000.00
681,74867.80,74867.80,1000.00
682,74986.95,74986.95,1000.00
683,75106.14,75106.14,1000.00
684,75225.37,75225.37,1000.00
685,75344.63,75344.63,1000.00
686,75463.93,75463.93,1000.00
687,75583.27,75583.27,1000.00
688,75702.64,75702.64,1000.00
689,75822.06,75822.06,1000.00
690,75941.51,75941.51,1000.00
691,76061.00,76061.00,1000.00
692,76180.53,76180.53,1000.00
693,76300.09,76300.09,1000.00
694,76419.70,76419.70,1000.00
695,76539.34,76539.34,1000.00
696,76659.02,76659.02,1000.00
697,76778.74,76778.74,1000.00
698,76898.49,76898.49,1000.00
699,77018.29,77018.29,1000.00
700,77138.12,77138.12,1000.00
701,77257.99,77257.99,1000.00
702,77377.89,77377.89,1000.00
703,77497.84,77497.84,1000.00
704,77617.82,77617.82,1000.00
705,77737.84,77737.84,1000.00
706,77857.90,77857.90,1000.00
707,77978.00,77978.00,1000.00
708,78098.14,78098.14,1000.00
709,78218.31,78218.31,1000.00
710,78338.52,78338.52,1000.00
711,78458.77,78458.77,1000.00
712,78579.06,78579.06,1000.00
713,78699.38,78699.38,1000.00
714,78819.75,78819.75,1000.00
715,78940.15,78940.15,1000.00
716,79060.59,79060.59,1000.00
717,79181.07,79181.07,1000.00
718,79301.59,79301.59,1000.00
719,79422.14,79422.14,1000.00
720,79542.73,79542.73,1000.00
721,79663.36,79663.36,1000.00
722,79784.03,79784.03,1000.00
723,79904.74,79904.74,1000.00
724,80025.49,80025.49,1000.00
725,80146.27,80146.27,1000.00
726,80267.09,80267.09,1000.00
727,80387.95,80387.95,1000.00
728,80508.85,80508.85,1000.00
729,80629.79,80629.79,1000.00
730,80750.77,80750.77,1000.00
731,80871.78,80871.78,1000.00
732,80992.83,80992.83,1000.00
733,81113.92,81113.92,1000.00
734,81235.05,81235.05,1000.00
735,81356.22,81356.22,1000.00
736,81477.42,81477.42,1000.00
737,81598.67,81598.67,1000.00
738,81719.95,81719.95,1000.00
739,81841.27,81841.27,1000.00
740,81962.63,81962.63,1000.00
741,82084.03,82084.03,1000.00
742,82205.46,82205.46,1000.00
743,82326.94,82326.94,1000.00
744,82448.45,82448.45,1000.00
745,82570.00,82570.00,1000.00
746,82691.59,82691.59,1000.00
747,82813.22,82813.22,1000.00
748,82934.89,82934.89,1000.00
749,83056.59,83056.59,1000.00
750,83178.33,83178.33,1000.00
751,83300.12,83300.12,1000.00
752,83421.94,83421.94,1000.00
753,83543.80,83543.80,1000.00
754,83665.69,83665.69,1000.00
755,83787.63,83787.63,1000.00
756,83909.61,83909.61,1000.00
757,84031.62,84031.62,1000.00
758,84153.67,84153.67,1000.00
759,84275.76,84275.76,1000.00
760,84397.89,84397.89,1000.00
761,84520.06,84520.06,1000.00
762,84642.27,84642.27,1000.00
763,84764.51,84764.51,1000.00
764,84886.80,84886.80,1000.00
765,85009.12,85009.12,1000.00
766,85131.48,85131.48,1000.00
767,85253.88,85253.88,1000.00
768,85376.32,85376.32,1000.00
769,85498.80,85498.80,1000.00
770,85621.31,85621.31,1000.00
771,85743.87,85743.87,1000.00
772,85866.46,85866.46,1000.00
773,85989.10,85989.10,1000.00
774,86111.77,86111.77,1000.00
775,86234.48,86234.48,1000.00
776,86357.23,86357.23,1000.00
